,State,Downs,FGMade,FGMiss,FUM,INT,PUNT,SAF,TD,Frequency,E[Plays Remaining],Markov EP,Recursive EP,Regressive EP,Down,DTG,Ydline
314,0.1769,0.0396,0.0546,0.079,0.3513,0.0,0.2557,483.0,5.95,2.32,1.6,1.8,2.0,5.0,50.0,2-5-54,0.0403
315,0.1578,0.0353,0.0529,0.0706,0.4101,0.0,0.2329,622.0,6.05,2.1,1.36,1.55,2.0,5.0,54.0,2-5-58,0.0373
316,0.1421,0.0318,0.0531,0.0765,0.4404,0.0001,0.2187,659.0,6.17,1.95,1.18,1.31,2.0,5.0,58.0,2-5-6,0.0335
317,0.3349,0.0205,0.016,0.0328,0.0013,0.0,0.561,265.0,2.99,4.92,4.76,4.69,2.0,5.0,6.0,2-5-62,0.0337
318,0.1313,0.0291,0.0617,0.0865,0.4582,0.0001,0.1993,640.0,6.21,1.78,0.96,1.06,2.0,5.0,62.0,2-5-66,0.0308
319,0.1223,0.0273,0.0574,0.0842,0.4895,0.0002,0.1883,553.0,6.49,1.68,0.85,0.81,2.0,5.0,66.0,2-5-70,0.028
320,0.1093,0.0242,0.059,0.0743,0.5332,0.0001,0.1719,479.0,6.45,1.53,0.67,0.57,2.0,5.0,70.0,2-5-74,0.0262
321,0.1026,0.0227,0.0587,0.0802,0.5453,0.0002,0.1641,842.0,6.49,1.45,0.58,0.32,2.0,5.0,74.0,2-5-78,0.0233
322,0.0886,0.0196,0.0612,0.0926,0.56,0.0009,0.1539,279.0,6.5,1.34,0.43,0.07,2.0,5.0,78.0,2-5-82,0.0219
323,0.0867,0.019,0.0694,0.0832,0.5712,0.0028,0.1458,217.0,6.69,1.27,0.36,-0.17,2.0,5.0,82.0,2-5-86,0.0183
324,0.0768,0.0167,0.0612,0.0781,0.6116,0.0027,0.1347,135.0,6.48,1.17,0.24,-0.42,2.0,5.0,86.0,2-5-90,0.0195
325,0.0706,0.0152,0.0534,0.0796,0.6165,0.0209,0.1241,92.0,6.69,1.04,0.12,-0.66,2.0,5.0,90.0,2-6-10,0.0299
326,0.3709,0.0351,0.0287,0.0394,0.0011,0.0,0.4949,270.0,3.24,4.57,4.35,4.19,2.0,6.0,10.0,2-6-14,0.0319
327,0.4067,0.0563,0.0264,0.0391,0.0034,0.0,0.4362,303.0,3.64,4.26,4.03,3.95,2.0,6.0,14.0,2-6-18,0.0322
328,0.3845,0.0632,0.0283,0.0661,0.0082,0.0,0.4175,347.0,3.96,4.07,3.76,3.7,2.0,6.0,18.0,2-6-2,0.0289
329,0.3387,0.0177,0.017,0.0521,0.0008,0.0,0.5448,564.0,2.31,4.82,4.62,4.66,2.0,6.0,2.0,2-6-22,0.038
330,0.3755,0.0861,0.0358,0.0561,0.0208,0.0,0.3877,340.0,4.15,3.83,3.48,3.46,2.0,6.0,22.0,2-6-26,0.0462
331,0.3408,0.0926,0.0401,0.0605,0.0507,0.0,0.3691,378.0,4.49,3.6,3.18,3.21,2.0,6.0,26.0,2-6-30,0.0558
332,0.2997,0.0797,0.0422,0.068,0.0867,0.0,0.3679,377.0,4.73,3.47,3.0,2.96,2.0,6.0,30.0,2-6-34,0.0666
333,0.257,0.066,0.0487,0.0626,0.1726,0.0,0.3264,429.0,5.09,3.05,2.5,2.72,2.0,6.0,34.0,2-6-38,0.0579
334,0.2229,0.0508,0.0449,0.0728,0.2406,0.0,0.3102,476.0,5.29,2.83,2.23,2.47,2.0,6.0,38.0,2-6-42,0.0511
335,0.2001,0.045,0.0475,0.0755,0.3025,0.0,0.2783,556.0,5.47,2.54,1.89,2.22,2.0,6.0,42.0,2-6-46,0.0444
336,0.1789,0.0404,0.0521,0.0713,0.3463,0.0,0.2665,528.0,5.54,2.4,1.71,1.98,2.0,6.0,46.0,2-6-50,0.0422
337,0.1657,0.0372,0.0655,0.0746,0.3757,0.0,0.239,540.0,5.69,2.17,1.42,1.73,2.0,6.0,50.0,2-6-54,0.0393
338,0.1538,0.0345,0.0566,0.0745,0.4135,0.0,0.2277,630.0,5.85,2.05,1.29,1.49,2.0,6.0,54.0,2-6-58,0.035
339,0.1378,0.0308,0.053,0.071,0.4632,0.0001,0.209,705.0,5.96,1.87,1.09,1.24,2.0,6.0,58.0,2-6-6,0.036
340,0.3775,0.0216,0.0157,0.0254,0.0026,0.0001,0.521,325.0,2.83,4.77,4.62,4.56,2.0,6.0,6.0,2-6-62,0.0339
341,0.1316,0.0294,0.0549,0.0763,0.4744,0.0002,0.1994,794.0,6.1,1.79,0.98,0.99,2.0,6.0,62.0,2-6-66,0.0291
342,0.1128,0.0251,0.0582,0.0783,0.519,0.0002,0.1773,626.0,6.16,1.58,0.73,0.75,2.0,6.0,66.0,2-6-70,0.0273
343,0.1086,0.0241,0.0622,0.0873,0.518,0.0001,0.1724,567.0,6.22,1.53,0.66,0.5,2.0,6.0,70.0,2-6-74,0.0259
344,0.0967,0.0213,0.0634,0.0787,0.5567,0.0002,0.157,885.0,6.2,1.39,0.5,0.25,2.0,6.0,74.0,2-6-78,0.0229
345,0.0858,0.0189,0.0604,0.0722,0.6007,0.0004,0.1387,324.0,6.26,1.22,0.32,0.01,2.0,6.0,78.0,2-6-82,0.0205
346,0.0799,0.0177,0.0519,0.0865,0.6068,0.0029,0.1338,278.0,6.41,1.17,0.25,-0.24,2.0,6.0,82.0,2-6-86,0.0183
347,0.0736,0.0162,0.0691,0.0845,0.6127,0.0026,0.1229,208.0,6.51,1.07,0.12,-0.48,2.0,6.0,86.0,,
348,,2-6-90,0.0161,0.0617,0.0133,0.0584,0.0739,0.6494,0.0198,0.1074,107.0,6.11,0.9,-0.04,-0.73,2.0,6.0
349,90.0,2-6-94,0.0174,0.0655,0.0145,0.0513,0.0732,0.6514,0.0106,0.1161,32.0,6.82,0.99,0.06,-0.98,2.0,6.0
350,94.0,2-7-10,0.0292,0.3539,0.0338,0.0296,0.0382,0.0011,0.0,0.5141,322.0,3.08,4.65,4.44,4.13,2.0,7.0
351,10.0,2-7-14,0.0327,0.4051,0.0621,0.0302,0.0292,0.0037,0.0,0.437,392.0,3.55,4.27,4.03,3.88,2.0,7.0
352,14.0,2-7-18,0.0345,0.4025,0.0647,0.0382,0.0415,0.0104,0.0,0.4084,387.0,3.84,4.06,3.77,3.63,2.0,7.0
