,State,Downs,FGMade,FGMiss,FUM,INT,PUNT,SAF,TD,Frequency,E[Plays Remaining],Markov EP,Recursive EP,Regressive EP,Down,DTG,Ydline
446,2.42,3.0,10.0,22.0,3-10-26,0.0495,0.466,0.1591,0.0223,0.0411,0.0617,0.0,0.2003,280.0,2.88,2.8,2.36
447,2.18,3.0,10.0,26.0,3-10-30,0.0923,0.3379,0.1336,0.0222,0.0446,0.1598,0.0,0.2097,268.0,3.16,2.48,1.92
448,1.93,3.0,10.0,30.0,3-10-34,0.0741,0.2149,0.0973,0.0384,0.048,0.3388,0.0,0.1884,263.0,3.27,1.96,1.25
449,1.68,3.0,10.0,34.0,3-10-38,0.0537,0.1494,0.0403,0.0349,0.0452,0.4938,0.0001,0.1825,295.0,3.41,1.72,0.97
450,1.44,3.0,10.0,38.0,3-10-42,0.0668,0.1052,0.0247,0.0281,0.0622,0.553,0.0,0.1599,361.0,3.34,1.43,0.6
451,1.19,3.0,10.0,42.0,3-10-46,0.0384,0.1105,0.0244,0.0552,0.0516,0.5611,0.0,0.1588,387.0,3.55,1.44,0.6
452,0.94,3.0,10.0,46.0,3-10-50,0.0322,0.1004,0.0231,0.039,0.0495,0.6108,0.0,0.145,310.0,3.64,1.31,0.47
453,0.7,3.0,10.0,50.0,3-10-54,0.0361,0.0821,0.0182,0.0404,0.0439,0.6509,0.0,0.1284,437.0,3.51,1.14,0.27
454,0.45,3.0,10.0,54.0,3-10-58,0.0253,0.0774,0.0173,0.0333,0.0604,0.6693,0.0,0.117,438.0,3.63,1.05,0.15
455,0.21,3.0,10.0,58.0,3-10-6,0.0529,0.605,0.0469,0.0227,0.0514,0.0134,0.0003,0.2075,130.0,2.11,3.26,2.98
456,3.15,3.0,10.0,6.0,3-10-62,0.026,0.0765,0.0169,0.0426,0.0715,0.6387,0.0001,0.1277,507.0,3.81,1.12,0.21
457,-0.04,3.0,10.0,62.0,3-10-66,0.0191,0.0626,0.0136,0.042,0.0695,0.6882,0.0002,0.1047,555.0,3.65,0.92,-0.02
458,-0.29,3.0,10.0,66.0,3-10-70,0.0252,0.0677,0.0148,0.0454,0.0621,0.6706,0.0003,0.1138,426.0,3.89,1.0,0.07
459,-0.53,3.0,10.0,70.0,3-10-74,0.0197,0.0534,0.0116,0.0391,0.0568,0.7265,0.0001,0.0928,432.0,3.77,0.81,-0.14
460,-0.78,3.0,10.0,74.0,3-10-78,0.0157,0.0493,0.0108,0.0473,0.0656,0.7259,0.0001,0.0852,697.0,3.76,0.74,-0.23
461,-1.03,3.0,10.0,78.0,3-10-82,0.0111,0.035,0.0078,0.0411,0.0478,0.7714,0.0004,0.0854,202.0,3.36,0.7,-0.26
462,-1.27,3.0,10.0,82.0,3-10-86,0.0159,0.0445,0.0098,0.0445,0.0362,0.758,0.0075,0.0837,171.0,3.89,0.7,-0.24
463,-1.52,3.0,10.0,86.0,3-10-90,0.0099,0.0402,0.0089,0.0626,0.0724,0.7267,0.0023,0.077,98.0,3.96,0.65,-0.35
464,-1.76,3.0,10.0,90.0,,,,3-10-94,0.0073,0.0242,0.0054,0.0456,0.0821,0.7166,0.0635,0.0554,69.0
465,3.39,0.33,-0.64,-2.01,3.0,10.0,94.0,3-10-99,0.0053,0.0209,0.0046,0.0167,0.1035,0.6189,0.1635,0.0664,40.0
466,3.35,0.2,-0.66,-2.32,3.0,10.0,99.0,3-11-10,0.0309,0.6433,0.0624,0.0194,0.0323,0.0021,0.0,0.2096,374.0
467,1.98,3.39,3.18,3.09,3.0,11.0,10.0,3-11-14,0.0384,0.6218,0.0817,0.0213,0.0373,0.0025,0.0,0.1969,323.0
468,2.06,3.24,2.98,2.85,3.0,11.0,14.0,3-11-18,0.0505,0.5887,0.1311,0.0208,0.0329,0.0125,0.0,0.1636,317.0
469,2.29,2.91,2.58,2.6,3.0,11.0,18.0,3-11-22,0.0379,0.5519,0.1515,0.0272,0.037,0.0309,0.0,0.1635,348.0
470,2.43,2.8,2.42,2.36,3.0,11.0,22.0,3-11-26,0.0403,0.5018,0.1935,0.0245,0.0331,0.0571,0.0,0.1496,358.0
471,2.6,2.55,2.1,2.11,3.0,11.0,26.0,3-11-30,0.0566,0.3711,0.1737,0.0349,0.0499,0.1446,0.0,0.1691,401.0
472,2.82,2.29,1.71,1.86,3.0,11.0,30.0,3-11-34,0.0537,0.254,0.0983,0.0389,0.0325,0.3714,0.0,0.151,396.0
473,2.89,1.82,1.13,1.62,3.0,11.0,34.0,3-11-38,0.0591,0.1579,0.0583,0.0273,0.0441,0.5053,0.0,0.1479,419.0
474,2.91,1.51,0.73,1.37,3.0,11.0,38.0,3-11-42,0.0525,0.117,0.0347,0.0354,0.0553,0.5469,0.0,0.1581,496.0
475,3.12,1.45,0.63,1.12,3.0,11.0,42.0,3-11-46,0.0484,0.0876,0.02,0.0467,0.0704,0.6006,0.0,0.1263,478.0
476,3.1,1.14,0.24,0.88,3.0,11.0,46.0,3-11-50,0.0316,0.0718,0.0162,0.0416,0.0534,0.6801,0.0,0.1053,523.0
477,3.1,0.95,0.04,0.63,3.0,11.0,50.0,3-11-54,0.0309,0.0688,0.0151,0.0388,0.05,0.69,0.0,0.1064,542.0
478,3.19,0.95,0.04,0.39,3.0,11.0,54.0,3-11-58,0.0268,0.0616,0.0137,0.0352,0.0497,0.7118,0.0,0.0996,649.0
479,3.26,0.88,-0.04,0.14,3.0,11.0,58.0,3-11-62,0.0208,0.0529,0.0117,0.038,0.0579,0.7331,0.0001,0.0856,627.0
480,3.22,0.76,-0.2,-0.11,3.0,11.0,62.0,3-11-66,0.0203,0.0534,0.0117,0.0386,0.0582,0.7282,0.0002,0.0894,714.0
481,3.32,0.78,-0.16,-0.35,3.0,11.0,66.0,3-11-70,0.0183,0.0429,0.0092,0.0379,0.0541,0.762,0.0016,0.0741,702.0
482,3.17,0.64,-0.32,-0.6,3.0,11.0,70.0,3-11-74,0.0146,0.0361,0.0079,0.0396,0.0558,0.787,0.0004,0.0586,657.0
483,3.13,0.52,-0.47,-0.85,3.0,11.0,74.0,3-11-78,0.0138,0.0377,0.0084,0.0455,0.0538,0.7762,0.0002,0.0644,764.0
484,3.29,0.56,-0.43,-1.09,3.0,11.0,78.0,3-11-82,0.0116,0.0332,0.0072,0.0442,0.0448,0.7987,0.0007,0.0596,605.0
485,3.23,0.51,-0.47,-1.34,3.0,11.0,82.0,3-11-86,0.01,0.0287,0.0064,0.0406,0.0465,0.7992,0.0042,0.0645,310.0
486,3.29,0.53,-0.45,-1.58,3.0,11.0,86.0,3-11-90,0.0072,0.0254,0.0053,0.0338,0.0565,0.7876,0.0309,0.0533,240.0
487,3.14,0.39,-0.58,-1.83,3.0,11.0,90.0,3-11-94,0.006,0.0225,0.005,0.0131,0.0453,0.836,0.0222,0.0499,150.0
488,3.16,0.37,-0.58,-2.08,3.0,11.0,94.0,3-11-99,0.0066,0.0224,0.005,0.0415,0.0456,0.773,0.0482,0.0577,36.0
489,2.95,0.37,-0.58,-2.39,3.0,11.0,99.0,3-16-14,0.0331,0.7022,0.0789,0.0171,0.0383,0.0039,0.0,0.1264,105.0
490,2.08,2.99,2.74,2.51,3.0,16.0,14.0,3-16-18,0.0399,0.6576,0.1186,0.0193,0.0456,0.0129,0.0,0.1062,124.0
491,2.06,2.71,2.38,2.27,3.0,16.0,18.0,3-16-22,0.0401,0.6168,0.1598,0.0102,0.041,0.0261,0.0,0.1059,110.0
492,2.09,2.59,2.23,2.02,3.0,16.0,22.0,3-16-26,0.0369,0.5923,0.1662,0.0126,0.0298,0.0583,0.0,0.1038,122.0
493,2.34,2.5,2.12,1.77,3.0,16.0,26.0,3-16-30,0.0366,0.4581,0.1833,0.0194,0.0175,0.1669,0.0,0.1182,136.0
494,2.43,2.2,1.7,1.53,3.0,16.0,30.0,3-16-34,0.0418,0.2879,0.1473,0.016,0.0345,0.3679,0.0,0.1047,154.0
495,2.41,1.59,0.91,1.28,3.0,16.0,34.0,3-16-38,0.0558,0.1895,0.088,0.0232,0.0313,0.5217,0.0,0.0904,171.0
496,2.68,1.2,0.41,1.04,3.0,16.0,38.0,3-16-42,0.0482,0.1302,0.0556,0.0248,0.0531,0.5982,0.0002,0.0898,216.0
497,2.65,1.02,0.15,0.79,3.0,16.0,42.0,3-16-46,0.0538,0.0847,0.0299,0.0285,0.0268,0.6684,0.0,0.1077,174.0
498,2.79,1.01,0.14,0.54,3.0,16.0,46.0,3-16-50,0.0436,0.0602,0.016,0.0215,0.0313,0.7287,0.0,0.0986,195.0
499,2.77,0.87,-0.02,0.3,3.0,16.0,50.0,3-16-54,0.0249,0.0361,0.0081,0.0427,0.0482,0.7824,0.0,0.0576,214.0
500,2.53,0.51,-0.48,0.05,3.0,16.0,54.0,3-16-58,0.0183,0.0409,0.009,0.0248,0.054,0.7772,0.0,0.0758,204.0
501,2.7,0.65,-0.3,-0.2,3.0,16.0,58.0,3-16-62,0.0192,0.0354,0.0079,0.0294,0.0239,0.8303,0.0,0.0539,247.0
502,2.79,0.48,-0.47,-0.44,3.0,16.0,62.0,3-16-66,0.0155,0.039,0.0082,0.0313,0.0403,0.8031,0.0,0.0626,242.0
503,2.88,0.55,-0.41,-0.69,3.0,16.0,66.0,3-16-70,0.0167,0.0294,0.0067,0.0335,0.0689,0.7916,0.0041,0.0491,256.0
504,2.76,0.42,-0.59,-0.93,3.0,16.0,70.0,3-16-74,0.0141,0.0251,0.0056,0.0326,0.0333,0.8374,0.0003,0.0515,270.0
505,2.79,0.43,-0.54,-1.18,3.0,16.0,74.0,3-16-78,0.0121,0.0233,0.0051,0.0313,0.0486,0.8359,0.0005,0.0432,276.0
506,2.73,0.37,-0.63,-1.43,3.0,16.0,78.0,3-16-82,0.0096,0.0186,0.0041,0.0274,0.0332,0.8726,0.0004,0.0342,274.0
507,2.72,0.29,-0.7,-1.67,3.0,16.0,82.0,3-16-86,0.0093,0.0172,0.0037,0.0298,0.0388,0.8552,0.011,0.0351,286.0
508,2.65,0.27,-0.72,-1.92,3.0,16.0,86.0,3-16-90,0.011,0.0182,0.004,0.0113,0.018,0.8708,0.0211,0.0454,100.0
509,2.9,0.33,-0.6,-2.17,3.0,16.0,90.0,3-16-94,0.0048,0.0115,0.0025,0.0205,0.0225,0.8838,0.0005,0.0538,69.0
510,2.49,0.41,-0.56,-2.41,3.0,16.0,94.0,3-16-99,0.0,0.0,0.0,0.0,0.0,0.9734,0.011,0.0157,7.0
511,2.04,0.09,-0.87,-2.72,3.0,16.0,99.0,3-2-1,0.0605,0.3753,0.0081,0.0076,0.0244,0.0002,0.0,0.5239,534.0
512,1.63,4.78,4.64,4.38,3.0,2.0,1.0,3-2-10,0.0363,0.4405,0.0491,0.0218,0.0371,0.0011,0.0,0.4142,219.0
513,2.91,4.21,3.99,3.7,3.0,2.0,10.0,3-2-14,0.0436,0.4304,0.0686,0.024,0.0274,0.007,0.0002,0.3988,210.0
514,3.31,4.07,3.83,3.45,3.0,2.0,14.0,3-2-18,0.0541,0.4159,0.0991,0.0207,0.0287,0.0098,0.0,0.3716,229.0
515,3.47,3.84,3.55,3.2,3.0,2.0,18.0,3-2-2,0.053,0.4305,0.0153,0.0119,0.0167,0.0002,0.0,0.4724,217.0
516,2.09,4.59,4.45,4.36,3.0,2.0,2.0,3-2-22,0.0584,0.4029,0.1036,0.0345,0.0453,0.0119,0.0,0.3435,219.0
517,4.01,3.61,3.24,2.96,3.0,2.0,22.0,3-2-26,0.0883,0.3321,0.1013,0.032,0.052,0.0423,0.0,0.3519,223.0
518,4.23,3.45,3.02,2.71,3.0,2.0,26.0,3-2-30,0.1004,0.2957,0.0822,0.0458,0.0455,0.0832,0.0,0.3455,274.0
519,4.54,3.3,2.82,2.47,3.0,2.0,30.0,3-2-34,0.1169,0.2224,0.0608,0.0351,0.0644,0.1936,0.0001,0.3067,262.0
520,4.63,2.81,2.21,2.22,3.0,2.0,34.0,3-2-38,0.0755,0.194,0.0435,0.0486,0.0709,0.2932,0.0,0.2743,316.0
521,4.71,2.5,1.83,1.97,3.0,2.0,38.0,3-2-42,0.0635,0.1681,0.0382,0.0481,0.0603,0.3888,0.0,0.233,333.0
522,4.67,2.13,1.41,1.73,3.0,2.0,42.0,,,,3-2-46,0.0489,0.1658,0.0377,0.0433,0.0771,0.3855
523,0.0,0.2417,369.0,5.06,2.18,1.46,1.48,3.0,2.0,46.0,3-2-50,0.0451,0.1325,0.0296,0.0449,0.057,0.4976
524,0.0,0.1932,388.0,4.75,1.75,0.96,1.23,3.0,2.0,50.0,3-2-54,0.0392,0.1305,0.0294,0.0377,0.0713,0.4955
525,0.0,0.1963,440.0,5.18,1.76,0.98,0.99,3.0,2.0,54.0,3-2-58,0.0379,0.1132,0.0254,0.0503,0.0654,0.5288
526,0.0001,0.1788,470.0,5.06,1.59,0.76,0.74,3.0,2.0,58.0,3-2-6,0.041,0.4096,0.0219,0.0189,0.0322,0.0005
527,0.0,0.4758,170.0,2.53,4.55,4.37,4.25,3.0,2.0,6.0,3-2-62,0.0287,0.0991,0.0221,0.0578,0.0641,0.569
528,0.0012,0.158,381.0,5.01,1.4,0.53,0.5,3.0,2.0,62.0,3-2-66,0.0248,0.0986,0.0219,0.0432,0.0606,0.595
529,0.0,0.1558,352.0,5.13,1.38,0.54,0.25,3.0,2.0,66.0,3-2-70,0.0257,0.0863,0.0191,0.0445,0.0625,0.6183
530,0.0001,0.1436,581.0,5.22,1.26,0.39,0.0,3.0,2.0,70.0,3-2-74,0.0232,0.0665,0.0146,0.0501,0.0623,0.672
531,0.0001,0.1112,215.0,4.79,0.98,0.05,-0.24,3.0,2.0,74.0,3-2-78,0.0222,0.0695,0.0154,0.06,0.0611,0.648
532,0.0006,0.1234,163.0,5.11,1.07,0.14,-0.49,3.0,2.0,78.0,3-2-82,0.0163,0.0672,0.0146,0.0562,0.0719,0.661
533,0.0007,0.112,105.0,5.42,0.98,0.04,-0.74,3.0,2.0,82.0,3-2-86,0.0193,0.0584,0.0129,0.0638,0.0517,0.6898
534,0.0073,0.0966,73.0,5.35,0.83,-0.11,-0.98,3.0,2.0,86.0,3-2-90,0.0128,0.0505,0.0111,0.0352,0.0488,0.7498
535,0.0016,0.0901,12.0,5.38,0.78,-0.16,-1.23,3.0,2.0,90.0,3-21-18,0.0246,0.7094,0.0726,0.0066,0.0732,0.0011
536,0.0,0.1125,15.0,2.08,2.91,2.64,1.93,3.0,21.0,18.0,3-21-22,0.0442,0.6672,0.1166,0.0352,0.0636,0.0385
537,0.0,0.0347,37.0,2.21,2.24,1.82,1.69,3.0,21.0,22.0,3-21-26,0.0477,0.5584,0.1697,0.0341,0.0328,0.0561
538,0.0,0.1012,37.0,2.2,2.38,1.94,1.44,3.0,21.0,26.0,3-21-30,0.0603,0.4608,0.1812,0.0265,0.0431,0.1759
539,0.0,0.0522,56.0,2.2,1.75,1.15,1.19,3.0,21.0,30.0,3-21-34,0.0477,0.3441,0.1408,0.0096,0.066,0.3338
540,0.0,0.058,52.0,2.27,1.44,0.74,0.95,3.0,21.0,34.0,3-21-38,0.0475,0.197,0.0853,0.0531,0.042,0.4996
541,0.0,0.0755,64.0,2.21,1.12,0.28,0.7,3.0,21.0,38.0,3-21-42,0.0451,0.1497,0.0797,0.0334,0.0378,0.5814
542,0.0,0.0729,77.0,2.26,0.96,0.1,0.45,3.0,21.0,42.0,3-21-46,0.0437,0.0994,0.0546,0.0436,0.0265,0.7052
543,0.0,0.0269,79.0,2.28,0.49,-0.46,0.21,3.0,21.0,46.0,3-21-50,0.0323,0.0537,0.019,0.0479,0.0403,0.7436
544,0.0,0.0632,76.0,2.55,0.6,-0.37,-0.04,3.0,21.0,50.0,3-21-54,0.0319,0.0279,0.0101,0.0284,0.0321,0.8252
545,0.0,0.0443,86.0,2.35,0.39,-0.59,-0.28,3.0,21.0,54.0,3-21-58,0.0162,0.0223,0.0055,0.0202,0.0672,0.8312
546,0.0,0.0375,69.0,2.38,0.33,-0.69,-0.53,3.0,21.0,58.0,3-21-62,0.0109,0.0169,0.0037,0.0421,0.0082,0.8893
547,0.0,0.0288,79.0,2.35,0.25,-0.74,-0.78,3.0,21.0,62.0,3-21-66,0.0123,0.0136,0.003,0.013,0.0525,0.8808
548,0.0,0.0249,110.0,2.29,0.21,-0.8,-1.02,3.0,21.0,66.0,3-21-70,0.0105,0.0199,0.0041,0.0159,0.0328,0.8835
549,0.0003,0.033,90.0,2.43,0.29,-0.69,-1.27,3.0,21.0,70.0,3-21-74,0.011,0.0102,0.0023,0.0154,0.018,0.9201
550,0.0003,0.0227,99.0,2.38,0.19,-0.8,-1.52,3.0,21.0,74.0,3-21-78,0.012,0.0133,0.003,0.026,0.0473,0.8636
551,0.0003,0.0346,104.0,2.47,0.28,-0.73,-1.76,3.0,21.0,78.0,3-21-82,0.0131,0.0172,0.0039,0.0177,0.0389,0.8758
552,0.0024,0.031,97.0,2.52,0.26,-0.73,-2.01,3.0,21.0,82.0,3-21-86,0.0106,0.0197,0.0038,0.0314,0.0109,0.8865
553,0.001,0.0362,90.0,2.69,0.31,-0.66,-2.25,3.0,21.0,86.0,3-21-90,0.0084,0.0152,0.0029,0.0339,0.0332,0.8748
554,0.0015,0.0301,84.0,2.66,0.25,-0.76,-2.5,3.0,21.0,90.0,3-21-94,0.0056,0.0063,0.0014,0.035,0.0044,0.9229
555,0.0048,0.0197,68.0,2.31,0.15,-0.85,-2.75,3.0,21.0,94.0,3-21-99,0.0039,0.0,0.0,0.1429,0.002,0.6955
556,0.1451,0.0107,9.0,2.01,-0.22,-1.19,-3.06,3.0,21.0,99.0,3-3-10,0.0394,0.4317,0.0582,0.012,0.0302,0.0036
557,0.0,0.425,195.0,2.67,4.26,4.06,3.63,3.0,3.0,10.0,3-3-14,0.0373,0.4659,0.0573,0.036,0.0387,0.0022
558,0.0,0.3624,189.0,2.97,3.93,3.66,3.38,3.0,3.0,14.0,3-3-18,0.042,0.4669,0.0991,0.0217,0.0429,0.0061
559,0.0,0.3213,200.0,3.32,3.64,3.34,3.14,3.0,3.0,18.0,3-3-2,0.0499,0.4206,0.0152,0.012,0.0242,0.0001
560,0.0,0.478,615.0,1.76,4.6,4.45,4.22,3.0,3.0,2.0,3-3-22,0.0417,0.3953,0.1138,0.0248,0.0542,0.0153
561,0.0,0.3548,228.0,3.49,3.66,3.31,2.89,3.0,3.0,22.0,3-3-26,0.0612,0.364,0.123,0.0296,0.0584,0.0425
562,0.0,0.3213,250.0,3.78,3.33,2.9,2.65,3.0,3.0,26.0,3-3-30,0.0926,0.3034,0.106,0.0378,0.0481,0.1116
563,0.0,0.3005,245.0,4.3,3.01,2.49,2.4,3.0,3.0,30.0,3-3-34,0.092,0.2309,0.0542,0.0412,0.0611,0.2434
564,0.0,0.2772,285.0,4.5,2.63,2.01,2.15,3.0,3.0,34.0,3-3-38,0.0711,0.1859,0.0415,0.0421,0.0601,0.3363
565,0.0,0.263,316.0,4.49,2.39,1.73,1.91,3.0,3.0,38.0,3-3-42,0.0593,0.1629,0.0371,0.0318,0.0574,0.4184
566,0.0,0.233,336.0,4.53,2.12,1.41,1.66,3.0,3.0,42.0,3-3-46,0.0443,0.1388,0.0311,0.0671,0.0672,0.4511
567,0.0,0.2004,322.0,4.47,1.82,1.01,1.41,3.0,3.0,46.0,3-3-50,0.0407,0.1293,0.029,0.0352,0.0655,0.5046
568,0.0,0.1956,353.0,4.61,1.75,0.97,1.17,3.0,3.0,50.0,3-3-54,0.0435,0.1145,0.0256,0.041,0.0517,0.5529
569,0.0,0.1708,447.0,4.65,1.54,0.72,0.92,3.0,3.0,54.0,3-3-58,0.035,0.1112,0.025,0.0399,0.0672,0.5534
570,0.0,0.1683,450.0,4.94,1.51,0.68,0.68,3.0,3.0,58.0,3-3-6,0.0371,0.4464,0.0266,0.0206,0.024,0.0004
571,0.0,0.445,172.0,2.36,4.45,4.28,4.11,3.0,3.0,6.0,3-3-62,0.0268,0.0942,0.021,0.0417,0.0571,0.6175
572,0.0001,0.1416,420.0,4.81,1.27,0.41,0.43,3.0,3.0,62.0,3-3-66,0.0254,0.0981,0.0218,0.043,0.0744,0.5869
573,0.0001,0.1504,349.0,5.09,1.34,0.48,0.18,3.0,3.0,66.0,3-3-70,0.024,0.0777,0.0172,0.0515,0.0663,0.6376
574,0.0001,0.1256,542.0,4.79,1.11,0.2,-0.06,3.0,3.0,70.0,3-3-74,0.0203,0.0795,0.0176,0.039,0.0704,0.6387
575,0.0001,0.1343,234.0,5.13,1.18,0.28,-0.31,3.0,3.0,74.0,3-3-78,0.0172,0.0653,0.0145,0.0467,0.0674,0.6652
576,0.0004,0.1232,161.0,5.09,1.06,0.13,-0.56,3.0,3.0,78.0,3-3-82,0.0144,0.0583,0.0129,0.08,0.0722,0.66
577,0.0005,0.1017,145.0,4.84,0.88,-0.1,-0.8,3.0,3.0,82.0,3-3-86,0.0136,0.0507,0.0112,0.0312,0.0571,0.7352
578,0.0018,0.0992,84.0,4.94,0.84,-0.09,-1.05,3.0,3.0,86.0,3-3-90,0.0131,0.0524,0.0117,0.0617,0.0473,0.7097
579,0.0022,0.102,36.0,5.11,0.86,-0.08,-1.29,3.0,3.0,90.0,3-4-10,0.0355,0.4449,0.0589,0.0193,0.0293,0.001
580,0.0,0.4111,190.0,2.59,4.2,3.99,3.56,3.0,4.0,10.0,,,,3-4-14,0.0428,0.4528,0.0672
581,0.035,0.0374,0.0025,0.0,0.3622,207.0,2.96,3.89,3.61,3.32,3.0,4.0,14.0,3-4-18,0.0407,0.4345,0.0957
582,0.034,0.0326,0.0075,0.0,0.355,229.0,3.03,3.78,3.48,3.07,3.0,4.0,18.0,3-4-2,0.039,0.4892,0.0139
583,0.0048,0.0307,0.0002,0.0,0.4222,551.0,1.73,4.41,4.28,4.08,3.0,4.0,2.0,3-4-22,0.048,0.4516,0.114
584,0.0309,0.0364,0.0291,0.0,0.29,218.0,3.33,3.38,3.03,2.82,3.0,4.0,22.0,3-4-26,0.0637,0.3838,0.1354
585,0.0307,0.0434,0.0516,0.0,0.2913,271.0,3.75,3.18,2.75,2.58,3.0,4.0,26.0,3-4-30,0.088,0.2904,0.1047
586,0.0403,0.06,0.1247,0.0,0.2917,293.0,4.05,2.91,2.36,2.33,3.0,4.0,30.0,3-4-34,0.093,0.2198,0.0609
587,0.0384,0.0569,0.256,0.0,0.2749,277.0,4.16,2.58,1.95,2.09,3.0,4.0,34.0,3-4-38,0.0565,0.167,0.0379
588,0.0366,0.0614,0.4008,0.0,0.2398,313.0,4.17,2.17,1.47,1.84,3.0,4.0,38.0,3-4-42,0.0494,0.1567,0.0359
589,0.0391,0.0536,0.4456,0.0,0.2198,327.0,4.33,2.0,1.28,1.59,3.0,4.0,42.0,3-4-46,0.0422,0.131,0.0296
590,0.04,0.0712,0.4925,0.0,0.1933,370.0,4.31,1.74,0.95,1.35,3.0,4.0,46.0,3-4-50,0.0354,0.1252,0.0282
591,0.0436,0.0592,0.5203,0.0,0.188,373.0,4.47,1.69,0.9,1.1,3.0,4.0,50.0,3-4-54,0.031,0.1189,0.0268
592,0.0513,0.0533,0.5427,0.0,0.1761,356.0,4.72,1.59,0.77,0.85,3.0,4.0,54.0,3-4-58,0.0304,0.1092,0.0243
593,0.0489,0.0612,0.5587,0.0013,0.166,480.0,4.66,1.48,0.65,0.61,3.0,4.0,58.0,3-4-6,0.039,0.4737,0.0408
594,0.0198,0.0226,0.0003,0.0,0.4038,200.0,2.19,4.24,4.06,3.98,3.0,4.0,6.0,3-4-62,0.0318,0.0988,0.0222
595,0.0542,0.0764,0.5588,0.0,0.1578,462.0,4.82,1.4,0.52,0.36,3.0,4.0,62.0,3-4-66,0.0243,0.0842,0.0188
596,0.0425,0.0685,0.6252,0.0001,0.1362,443.0,4.72,1.2,0.32,0.12,3.0,4.0,66.0,3-4-70,0.0209,0.0782,0.0174
597,0.0413,0.071,0.6446,0.0001,0.1266,568.0,4.72,1.12,0.21,-0.13,3.0,4.0,70.0,3-4-74,0.0218,0.0739,0.0162
598,0.0523,0.0608,0.6558,0.0001,0.119,212.0,5.0,1.05,0.14,-0.38,3.0,4.0,74.0,3-4-78,0.0161,0.0617,0.0136
599,0.0352,0.0628,0.7061,0.0002,0.1043,193.0,4.71,0.91,-0.01,-0.62,3.0,4.0,78.0,3-4-82,0.0154,0.0632,0.0134
600,0.0316,0.071,0.6999,0.0014,0.1041,151.0,4.88,0.91,-0.01,-0.87,3.0,4.0,82.0,3-4-86,0.0125,0.0503,0.0112
601,0.0514,0.0529,0.7112,0.0025,0.1079,92.0,4.7,0.9,-0.04,-1.12,3.0,4.0,86.0,3-4-90,0.0136,0.0455,0.0101
602,0.0511,0.0641,0.7254,0.0056,0.0847,48.0,4.76,0.72,-0.26,-1.36,3.0,4.0,90.0,3-5-10,0.0374,0.4794,0.0587
603,0.0098,0.0348,0.0013,0.0,0.3787,176.0,2.45,4.08,3.88,3.5,3.0,5.0,10.0,3-5-14,0.0357,0.4864,0.1103
604,0.0233,0.0394,0.0011,0.0,0.3037,199.0,2.66,3.58,3.28,3.25,3.0,5.0,14.0,3-5-18,0.0385,0.5095,0.0724
605,0.0186,0.0388,0.012,0.0001,0.3101,238.0,3.1,3.69,3.44,3.0,3.0,5.0,18.0,3-5-2,0.0459,0.5134,0.0213
606,0.02,0.0464,0.0004,0.0,0.3527,522.0,1.77,4.0,3.79,3.94,3.0,5.0,2.0,3-5-22,0.0427,0.4365,0.1169
607,0.0375,0.0401,0.0149,0.0,0.3114,244.0,3.37,3.48,3.13,2.76,3.0,5.0,22.0,3-5-26,0.0734,0.3898,0.1292
608,0.0421,0.0427,0.0409,0.0,0.282,249.0,3.62,3.14,2.69,2.51,3.0,5.0,26.0,3-5-30,0.0915,0.2886,0.1175
609,0.0414,0.0531,0.1359,0.0,0.2719,235.0,3.78,2.76,2.2,2.27,3.0,5.0,30.0,3-5-34,0.085,0.2083,0.0568
610,0.0362,0.0705,0.296,0.0,0.247,289.0,3.91,2.35,1.68,2.02,3.0,5.0,34.0,3-5-38,0.0732,0.1687,0.0377
611,0.0352,0.057,0.3871,0.0,0.2411,293.0,4.13,2.19,1.49,1.77,3.0,5.0,38.0,3-5-42,0.0436,0.1382,0.0307
612,0.0393,0.0623,0.4949,0.0,0.191,360.0,3.99,1.75,0.97,1.53,3.0,5.0,42.0,3-5-46,0.0446,0.1431,0.0322
613,0.0595,0.0524,0.4562,0.0,0.2119,409.0,4.43,1.91,1.14,1.28,3.0,5.0,46.0,3-5-50,0.036,0.1321,0.0289
614,0.051,0.0553,0.503,0.0,0.1936,346.0,4.49,1.75,0.96,1.03,3.0,5.0,50.0,3-5-54,0.0333,0.1063,0.0234
615,0.0434,0.0575,0.5694,0.0,0.1667,444.0,4.25,1.48,0.65,0.79,3.0,5.0,54.0,3-5-58,0.0329,0.0958,0.0209
616,0.0521,0.0554,0.5914,0.0001,0.1514,465.0,4.31,1.34,0.48,0.54,3.0,5.0,58.0,3-5-6,0.0347,0.5433,0.0325
617,0.0059,0.0253,0.0032,0.0,0.355,210.0,2.09,4.11,3.96,3.84,3.0,5.0,6.0,3-5-62,0.0261,0.0917,0.0202
618,0.0476,0.0573,0.6136,0.0001,0.1435,471.0,4.45,1.28,0.41,0.29,3.0,5.0,62.0,3-5-66,0.0227,0.0892,0.0198
619,0.0434,0.0703,0.6161,0.0001,0.1383,425.0,4.76,1.23,0.35,0.05,3.0,5.0,66.0,3-5-70,0.0195,0.0689,0.015
620,0.0509,0.0587,0.6748,0.0,0.1121,339.0,4.39,0.99,0.07,-0.2,3.0,5.0,70.0,3-5-74,0.0186,0.0681,0.0151
