the,2618291,1713
",",2398174,1713
.,2131797,1713
of,1417475,1713
and,1227434,1713
to,1176765,1713
a,965085,1711
in,815387,1713
is,485750,1710
that,430031,1710
was,408202,1699
&bquo,405743,1643
&equo,388546,1645
for,384954,1711
it,326293,1707
The,313391,1707
's,311766,1706
with,306891,1711
be,305521,1709
on,300717,1711
