,Unnamed: 0,year,male,female,total
125,125,2005,"2,125,100","2,027,235","4,152,335"
126,126,2006,"2,189,783","2,087,917","4,277,700"
127,127,2007,"2,212,144","2,113,528","4,325,672"
128,128,2008,"2,176,932","2,079,498","4,256,430"
129,129,2009,"2,117,127","2,021,228","4,138,355"
130,130,2010,"2,049,975","1,956,103","4,006,078"
131,131,2011,"2,025,810","1,932,372","3,958,182"
132,132,2012,"2,022,025","1,932,633","3,954,658"
133,133,2013,"2,010,997","1,918,570","3,929,567"
134,134,2014,"2,029,795","1,938,534","3,968,329"
